iter	Passed	Remaining
215	340	1236
216	342	1235
217	343	1233
218	345	1231
219	346	1230
220	348	1228
221	350	1227
222	351	1225
223	353	1223
224	354	1222
225	356	1220
226	358	1219
227	359	1217
228	361	1216
229	362	1214
230	364	1213
231	366	1211
232	367	1210
233	369	1208
234	370	1207
235	372	1205
236	373	1203
237	375	1202
238	377	1200
239	378	1198
240	380	1197
241	381	1195
242	383	1193
243	384	1192
244	386	1190
245	388	1189
246	389	1187
247	391	1186
248	392	1184
249	394	1183
250	396	1181
251	397	1180
252	399	1178
253	400	1176
254	402	1174
255	403	1173
256	405	1171
257	406	1169
258	408	1168
259	409	1166
260	411	1164
261	413	1163
262	414	1161
263	416	1159
264	417	1158
265	419	1156
266	420	1154
267	422	1153
268	423	1151
269	425	1150
270	426	1148
271	428	1146
272	430	1145
273	431	1143
274	433	1142
275	434	1140
276	436	1138
277	437	1137
278	439	1135
279	441	1134
280	442	1132
281	444	1131
282	445	1129
283	447	1127
284	448	1126
285	450	1124
286	451	1122
287	453	1121
288	455	1119
289	456	1118
290	458	1116
291	459	1115
292	461	1113
293	463	1111
294	464	1110
295	466	1109
296	467	1107
297	469	1106
298	471	1104
299	472	1102
300	474	1101
301	475	1099
302	477	1097
303	478	1096
304	480	1094
305	481	1092
306	483	1091
307	484	1089
308	486	1088
309	488	1086
310	489	1085
311	491	1083
312	492	1081
313	494	1080
314	496	1079
315	497	1077
316	499	1075
317	500	1074
318	502	1073
319	504	1071
320	505	1069
321	507	1068
322	509	1066
323	510	1065
324	512	1063
325	513	1062
326	515	1060
327	516	1058
328	518	1057
329	519	1055
330	521	1054
331	523	1052
332	524	1051
333	526	1049
334	527	1047
335	529	1045
336	530	1044
337	532	1042
338	534	1041
339	535	1039
340	537	1038
341	538	1036
342	540	1034
343	541	1033
344	543	1031
345	544	1030
346	546	1028
347	548	1027
348	549	1025
349	551	1023
350	552	1022
351	554	1021
352	556	1019
353	557	1017
354	559	1016
355	560	1014
356	562	1012
357	563	1011
358	565	1009
359	567	1008
360	568	1006
361	570	1004
362	571	1003
363	573	1001
364	574	1000
365	576	998
366	577	996
367	579	995
368	581	993
369	582	992
370	584	990
371	586	989
372	587	988
373	589	986
374	591	985
375	592	983
376	594	981
377	595	980
378	597	978
379	598	977
380	600	975
381	602	973
382	603	972
383	605	970
384	606	969
385	608	967
386	609	966
387	611	964
388	613	963
389	614	961
390	616	959
391	617	958
392	619	956
393	620	955
394	622	953
395	624	952
396	625	950
397	627	949
398	629	947
399	630	946
400	632	944
401	634	943
402	635	941
403	637	940
404	639	938
405	640	937
406	642	936
407	644	934
408	645	932
409	647	931
410	648	929
411	650	928
412	652	926
413	653	925
414	655	923
415	656	922
416	658	920
417	660	919
418	661	917
419	663	916
420	665	914
421	666	913
422	668	911
423	670	910
424	671	908
425	673	907
426	674	905
427	676	903
428	677	902
429	679	900
430	681	899
431	683	898
432	684	896
433	686	895
434	687	893
435	689	891
436	691	890
437	692	888
438	694	887
439	695	885
440	697	883
441	698	882
442	700	880
443	702	879
444	703	877
445	705	876
446	707	874
447	708	873
448	710	871
449	711	870
450	713	868
451	715	867
452	716	865
453	718	863
454	720	862
455	721	860
456	723	859
457	724	857
458	726	856
459	728	854
460	729	853
461	731	851
462	732	849
463	734	848
464	736	846
465	737	845
466	739	843
467	740	842
468	742	840
469	744	839
470	745	837
471	747	836
472	749	834
473	750	833
474	752	831
475	753	829
476	755	828
477	757	826
478	758	825
479	760	823
480	762	822
481	763	820
482	765	819
483	766	817
484	768	816
485	770	814
486	771	813
487	773	811
488	775	809
489	776	808
490	778	806
491	780	805
492	781	803
493	783	802
494	784	800
495	786	799
496	787	797
497	789	796
498	791	794
499	792	792
500	794	791
501	796	789
502	797	788
503	799	786
504	801	785
505	802	783
506	804	782
507	805	780
508	807	779
509	809	777
510	810	775
511	812	774
512	813	772
513	815	771
514	817	769
515	818	767
516	820	766
517	821	764
518	823	763
519	825	761
520	826	759
521	828	758
522	829	756
523	831	755
524	833	753
525	834	752
526	836	750
527	838	749
528	839	747
529	841	746
530	843	744
531	844	743
532	846	741
533	847	739
534	849	738
535	851	736
536	852	735
537	854	733
538	855	731
539	857	730
540	858	728
541	860	727
542	862	725
543	863	724
544	865	722
545	867	721
546	868	719
547	870	718
548	872	716
549	873	714
550	875	713
551	877	711
552	878	710
553	880	708
554	881	707
555	883	705
556	885	703
557	886	702
558	888	700
559	889	699
560	891	697
561	893	695
562	894	694
563	896	692
564	897	691
565	899	689
566	901	688
567	902	686
568	904	685
569	906	683
570	907	681
571	909	680
572	910	678
573	912	677
574	914	675
575	915	674
576	917	672
577	919	671
578	920	669
579	922	667
580	924	666
581	925	664
582	927	663
583	928	661
584	930	660
585	932	658
586	933	656
587	935	655
588	936	653
589	938	652
590	940	650
591	941	649
592	943	647
593	944	645
594	946	644
595	948	642
596	949	641
597	951	639
598	953	638
599	954	636
600	956	634
601	958	633
602	960	632
603	961	630
604	963	629
605	965	627
606	967	626
607	969	624
608	970	623
609	972	621
610	974	620
611	976	618
612	977	617
613	979	615
614	981	614
615	982	612
616	984	611
617	986	609
618	988	608
619	989	606
620	991	605
621	993	603
622	995	602
623	997	600
624	998	599
625	1000	597
626	1002	596
627	1004	594
628	1005	593
629	1007	591
630	1009	590
631	1010	588
632	1012	587
633	1014	585
634	1015	583
635	1017	582
636	1019	580
637	1020	579
638	1022	577
639	1024	576
640	1025	574
641	1027	572
642	1028	571
643	1030	569
644	1031	567
645	1033	566
646	1034	564
647	1036	562
648	1037	561
649	1039	559
650	1041	558
651	1042	556
652	1044	554
653	1045	553
654	1047	551
655	1049	550
656	1050	548
657	1052	546
658	1053	545
659	1055	543
660	1057	542
661	1059	540
662	1060	539
663	1062	537
664	1064	536
665	1065	534
666	1067	532
667	1069	531
668	1071	529
669	1072	528
670	1074	526
671	1075	525
672	1077	523
673	1079	522
674	1080	520
675	1082	518
676	1084	517
677	1086	515
678	1088	514
679	1089	512
680	1091	511
681	1093	509
682	1095	508
683	1097	506
684	1099	505
685	1100	503
686	1102	502
687	1103	500
688	1105	499
689	1107	497
690	1108	495
691	1110	494
692	1111	492
693	1113	490
694	1115	489
695	1116	487
696	1118	486
697	1119	484
698	1121	482
699	1123	481
700	1124	479
701	1126	478
702	1127	476
703	1129	474
704	1130	473
705	1132	471
706	1133	469
707	1135	468
708	1137	466
709	1138	465
710	1140	463
711	1141	461
712	1143	460
713	1144	458
714	1146	456
715	1147	455
716	1149	453
717	1151	452
718	1152	450
719	1154	448
720	1155	447
721	1157	445
722	1159	444
723	1160	442
724	1162	440
725	1163	439
726	1165	437
727	1166	436
728	1168	434
729	1170	432
730	1171	431
731	1173	429
732	1174	427
733	1176	426
734	1177	424
735	1179	423
736	1181	421
737	1182	419
738	1184	418
739	1185	416
740	1187	415
741	1189	413
742	1190	411
743	1192	410
744	1193	408
745	1195	406
746	1196	405
747	1198	403
748	1199	402
749	1201	400
750	1202	398
751	1204	397
752	1206	395
753	1207	394
754	1209	392
755	1211	390
756	1212	389
757	1214	387
758	1215	386
759	1217	384
760	1219	382
761	1220	381
762	1222	379
763	1223	378
764	1225	376
765	1227	374
766	1228	373
767	1230	371
768	1231	370
769	1233	368
770	1234	366
771	1236	365
772	1238	363
773	1239	361
774	1241	360
775	1242	358
776	1244	357
777	1245	355
778	1247	353
779	1249	352
780	1250	350
781	1252	349
782	1253	347
783	1255	345
784	1256	344
785	1258	342
786	1260	341
787	1261	339
788	1263	337
789	1264	336
790	1266	334
791	1267	332
792	1269	331
793	1271	329
794	1272	328
795	1274	326
796	1275	324
797	1277	323
798	1278	321
799	1280	320
800	1281	318
801	1283	316
802	1285	315
803	1286	313
804	1288	312
805	1289	310
806	1291	308
807	1293	307
808	1294	305
809	1296	304
810	1297	302
811	1299	300
812	1300	299
813	1302	297
814	1304	296
815	1305	294
816	1307	292
817	1308	291
818	1310	289
819	1311	287
820	1313	286
821	1314	284
822	1316	283
823	1318	281
824	1319	279
825	1321	278
826	1322	276
827	1324	275
828	1326	273
829	1327	271
830	1329	270
831	1330	268
832	1332	267
833	1333	265
834	1335	263
835	1337	262
836	1338	260
837	1340	259
838	1341	257
839	1343	255
840	1345	254
841	1346	252
842	1348	251
843	1349	249
844	1351	247
845	1353	246
846	1354	244
847	1356	243
848	1357	241
849	1359	239
850	1361	238
851	1362	236
852	1364	235
853	1365	233
854	1367	231
855	1368	230
856	1370	228
857	1372	227
858	1373	225
859	1375	223
860	1377	222
861	1378	220
862	1380	219
863	1381	217
864	1383	215
865	1385	214
866	1386	212
867	1388	211
868	1390	209
869	1391	207
870	1393	206
871	1394	204
872	1396	203
873	1398	201
874	1399	199
875	1401	198
876	1403	196
877	1404	195
878	1406	193
879	1407	191
880	1409	190
881	1411	188
882	1412	187
883	1414	185
884	1416	184
885	1417	182
886	1419	180
887	1420	179
888	1422	177
889	1424	176
890	1425	174
891	1427	172
892	1428	171
893	1430	169
894	1432	168
895	1433	166
896	1435	164
897	1436	163
898	1438	161
899	1440	160
900	1441	158
901	1443	156
902	1444	155
903	1446	153
904	1448	152
905	1449	150
906	1451	148
907	1453	147
908	1454	145
909	1456	144
910	1458	142
911	1459	140
912	1461	139
913	1463	137
914	1464	136
915	1466	134
916	1467	132
917	1469	131
918	1470	129
919	1472	128
920	1473	126
921	1475	124
922	1477	123
923	1478	121
924	1480	120
925	1482	118
926	1483	116
927	1485	115
928	1486	113
929	1488	112
930	1489	110
931	1491	108
932	1493	107
933	1494	105
934	1496	104
935	1497	102
936	1499	100
937	1501	99
938	1502	97
939	1504	96
940	1505	94
941	1507	92
942	1509	91
943	1510	89
944	1512	88
945	1514	86
946	1515	84
947	1517	83
948	1518	81
949	1520	80
950	1522	78
951	1523	76
952	1525	75
953	1526	73
954	1528	72
955	1530	70
956	1531	68
957	1533	67
958	1534	65
959	1536	64
960	1538	62
961	1539	60
962	1541	59
963	1542	57
964	1544	56
965	1546	54
966	1547	52
967	1549	51
968	1550	49
969	1552	48
970	1553	46
971	1555	44
972	1557	43
973	1558	41
974	1560	40
975	1561	38
976	1563	36
977	1565	35
978	1566	33
979	1568	32
980	1570	30
981	1572	28
982	1573	27
983	1575	25
984	1576	24
985	1578	22
986	1579	20
987	1581	19
988	1582	17
989	1584	16
990	1586	14
991	1587	12
992	1589	11
993	1590	9
994	1592	8
995	1594	6
996	1595	4
997	1597	3
998	1598	1
999	1600	0
