iter	RMSE
407	2.784805259
408	2.781830072
409	2.777767483
410	2.775775721
411	2.770957207
412	2.768391588
413	2.764789367
414	2.762226572
415	2.759090001
416	2.755778544
417	2.753209422
418	2.750368549
419	2.748076949
420	2.745659832
421	2.74277948
422	2.739142817
423	2.736438246
424	2.734349263
425	2.729898672
426	2.726886677
427	2.72330911
428	2.721305693
429	2.718532193
430	2.715907196
431	2.713678378
432	2.711601537
433	2.70995532
434	2.708057078
435	2.705825772
436	2.702483924
437	2.699520573
438	2.697178036
439	2.69387994
440	2.692115394
441	2.689448074
442	2.68638529
443	2.684050947
444	2.680399118
445	2.67599715
446	2.674526334
447	2.671040386
448	2.669579139
449	2.666654406
450	2.663518062
451	2.660288181
452	2.658780324
453	2.657182773
454	2.654731913
455	2.652333278
456	2.64856219
457	2.645593592
458	2.643325377
459	2.640471361
460	2.637524762
461	2.635530605
462	2.634186675
463	2.630056688
464	2.627816652
465	2.625955656
466	2.623985982
467	2.620127184
468	2.617497401
469	2.614806597
470	2.611495843
471	2.609632275
472	2.606868685
473	2.604765835
474	2.601838543
475	2.59837384
476	2.59596642
477	2.592526133
478	2.590576433
479	2.587820326
480	2.585838824
481	2.583669244
482	2.581984494
483	2.579631995
484	2.577373104
485	2.574897142
486	2.571566385
487	2.569621185
488	2.566874355
489	2.564851637
490	2.561453051
491	2.558574845
492	2.556865797
493	2.554980525
494	2.553622933
495	2.550223985
496	2.548339309
497	2.545563365
498	2.542890957
499	2.539684226
500	2.5374809
501	2.535292612
502	2.532646326
503	2.530363895
504	2.52700839
505	2.524887387
506	2.52288258
507	2.521330416
508	2.518868246
509	2.516353595
510	2.513769738
511	2.511497613
512	2.509297771
513	2.507736984
514	2.505912532
515	2.504834174
516	2.504122791
517	2.50270075
518	2.499767938
519	2.498155347
520	2.496134446
521	2.494711211
522	2.49267676
523	2.490752758
524	2.489495321
525	2.487173951
526	2.483939754
527	2.482507688
528	2.480213644
529	2.478640498
530	2.47587177
531	2.473330389
532	2.472225981
533	2.470663911
534	2.469144502
535	2.467210673
536	2.465892573
537	2.46415647
538	2.462188072
539	2.459314768
540	2.458088365
541	2.45547616
542	2.453084668
543	2.451994656
544	2.450977306
545	2.448552615
546	2.445791666
547	2.44386594
548	2.442536468
549	2.440499725
550	2.438854058
551	2.436886788
552	2.435451349
553	2.434580058
554	2.432867809
555	2.432473505
556	2.431325957
557	2.428899492
558	2.427193006
559	2.425548872
560	2.422471079
561	2.419776554
562	2.418776912
563	2.416782265
564	2.415529869
565	2.413849615
566	2.412799931
567	2.410707796
568	2.409265697
569	2.407730308
570	2.406666537
571	2.405895336
572	2.404173281
573	2.401692058
574	2.399949481
575	2.397667845
576	2.396802258
577	2.396016515
578	2.394039229
579	2.392091943
580	2.390089246
581	2.38913124
582	2.388625629
583	2.38803952
584	2.385067854
585	2.383012222
586	2.381665543
587	2.38088694
588	2.379670425
589	2.378534574
590	2.378062491
591	2.375812238
592	2.375098797
593	2.372896822
594	2.371217578
595	2.368900885
596	2.368782228
597	2.367257822
598	2.366556376
599	2.365013041
600	2.363707161
601	2.362087765
602	2.360141862
603	2.358045335
604	2.356882245
605	2.355332418
606	2.352920416
607	2.350643328
608	2.348401482
609	2.346293282
610	2.344697552
611	2.342542462
612	2.340754666
613	2.339927404
614	2.336149395
615	2.334538148
616	2.332881131
617	2.331158308
618	2.329263252
619	2.327534902
620	2.325236197
621	2.323915018
622	2.321653389
623	2.320384338
624	2.318405265
625	2.31569589
626	2.315168654
627	2.313595869
628	2.312134003
629	2.309396584
630	2.30649633
631	2.306102861
632	2.303617061
633	2.301567634
634	2.299065772
635	2.296919154
636	2.296531162
637	2.294828302
638	2.292933098
639	2.290212737
640	2.287435848
641	2.286423894
642	2.285528324
643	2.284424589
644	2.282024705
645	2.280807515
646	2.27808957
647	2.275840612
648	2.273876829
649	2.27179648
650	2.271211441
651	2.269987217
652	2.267923897
653	2.266297159
654	2.263867075
655	2.262075792
656	2.2607007
657	2.258462304
658	2.257695466
659	2.256229664
660	2.25457333
661	2.254153922
662	2.252376252
663	2.248964264
664	2.247363368
665	2.245471836
666	2.244496839
667	2.24215148
668	2.241214343
669	2.240875372
670	2.239307217
671	2.237067612
672	2.234652202
673	2.233258934
674	2.231384802
675	2.230351461
676	2.228287737
677	2.226573669
678	2.224839401
679	2.22445374
680	2.224237196
681	2.222604906
682	2.219929485
683	2.217822413
684	2.215516909
685	2.213079619
686	2.211648838
687	2.209531792
688	2.207038426
689	2.205436178
690	2.203428796
691	2.202115435
692	2.201182297
693	2.200676189
694	2.199183236
695	2.197431685
696	2.196162794
697	2.194075868
698	2.191739443
699	2.191510172
700	2.189549781
701	2.188667985
702	2.188366986
703	2.185761761
704	2.184876683
705	2.182784126
706	2.180428392
707	2.179332286
708	2.177064122
709	2.175214234
710	2.174131636
711	2.172506604
712	2.172010217
713	2.170384581
714	2.169127216
715	2.167389808
716	2.165852105
717	2.164890878
718	2.163142374
719	2.16129669
720	2.160216974
721	2.158649749
722	2.156994149
723	2.15510292
724	2.153188328
725	2.152911432
726	2.151620974
727	2.150265892
728	2.148540126
729	2.146819612
730	2.146622531
731	2.145034557
732	2.144121275
733	2.143465024
734	2.142308621
735	2.140349403
736	2.138397452
737	2.1362212
738	2.13434634
739	2.132617875
740	2.132036015
741	2.129527304
742	2.128751411
743	2.127884579
744	2.126526048
745	2.126006356
746	2.124766174
747	2.123385692
748	2.121558396
749	2.119330239
750	2.116870051
751	2.1155165
752	2.113291129
753	2.111957821
754	2.109975013
755	2.10868919
756	2.1076517
757	2.10640633
758	2.105371111
759	2.10373592
760	2.101630571
761	2.101326605
762	2.09953734
763	2.097587912
764	2.096279054
765	2.09503341
766	2.094456789
767	2.09308551
768	2.092270855
769	2.090940419
770	2.089214413
771	2.087942312
772	2.086417914
773	2.085056479
774	2.082608675
775	2.081776194
776	2.080593617
777	2.078778904
778	2.077019302
779	2.075334919
780	2.075100168
781	2.073331778
782	2.072574761
783	2.0713303
784	2.070822612
785	2.069067346
786	2.06834135
787	2.066615034
788	2.065262814
789	2.064158769
790	2.062879395
791	2.062121267
792	2.061044303
793	2.059333295
794	2.058225292
795	2.056681454
796	2.055169054
797	2.053738306
798	2.05304381
799	2.051512432
800	2.050578965
801	2.049445264
802	2.047665437
803	2.047248441
804	2.04465895
805	2.043569191
806	2.042577589
807	2.041518824
808	2.040396038
809	2.039787743
810	2.038690919
811	2.037028012
812	2.035967874
813	2.034592717
814	2.032860045
815	2.031270665
816	2.030542432
817	2.029021702
818	2.026613725
819	2.024632406
820	2.023652833
821	2.021526572
822	2.020495696
823	2.019841723
824	2.018436054
825	2.018256529
826	2.017665313
827	2.016220068
828	2.01553377
829	2.014748036
830	2.014078235
831	2.012795277
832	2.012172059
833	2.011983197
834	2.010710618
835	2.009635498
836	2.008353847
837	2.007236447
838	2.006078863
839	2.004975258
840	2.003311406
841	2.001894499
842	2.000423556
843	1.999202461
844	1.997680544
845	1.995824898
846	1.994437683
847	1.992850659
848	1.992116969
849	1.990796592
850	1.988666048
851	1.987765192
852	1.986411223
853	1.985498911
854	1.983712378
855	1.982732266
856	1.98013489
857	1.978725885
858	1.977698027
859	1.976561445
860	1.975418956
861	1.974451021
862	1.974282492
863	1.97321569
864	1.97197453
865	1.970588778
866	1.969358386
867	1.968088185
868	1.967055061
869	1.965888205
870	1.964994112
871	1.964552566
872	1.963518916
873	1.962457876
874	1.961279734
875	1.959593093
876	1.958117686
877	1.956469559
878	1.95468343
879	1.95379755
880	1.952299323
881	1.952132433
882	1.950531714
883	1.949893776
884	1.948808054
885	1.947871343
886	1.946396034
887	1.945644955
888	1.94481794
889	1.94354316
890	1.942490403
891	1.941432378
892	1.941118246
893	1.939567466
894	1.93841336
895	1.937330646
896	1.936125673
897	1.934698772
898	1.93333032
899	1.932182226
900	1.931184314
901	1.930272824
902	1.929430948
903	1.928776006
904	1.927756632
905	1.926230929
906	1.924710005
907	1.923347233
908	1.923180436
909	1.923053728
910	1.922011368
911	1.920021162
912	1.918255584
913	1.917031485
914	1.915929388
915	1.914925436
916	1.913418589
917	1.91233972
918	1.910838603
919	1.909878058
920	1.908946749
921	1.907963884
922	1.90720488
923	1.906778609
924	1.905651132
925	1.905168249
926	1.904382227
927	1.903147205
928	1.902701774
929	1.901350472
930	1.900081928
931	1.89857185
932	1.896688149
933	1.89589532
934	1.894969763
935	1.894195144
936	1.892463452
937	1.891449414
938	1.889658135
939	1.889076569
940	1.887696455
941	1.887093992
942	1.886427123
943	1.885602333
944	1.884125315
945	1.882578416
946	1.880737478
947	1.878735114
948	1.878243771
949	1.877204958
950	1.876393363
951	1.874972173
952	1.873962003
953	1.873737277
954	1.87239537
955	1.871640842
956	1.871123136
957	1.869817672
958	1.868327202
959	1.867336697
960	1.866446774
961	1.865128848
962	1.864117077
963	1.862472446
964	1.861990073
965	1.861575179
966	1.860211395
967	1.860040771
968	1.859085275
969	1.8574147
970	1.856800733
971	1.855868568
972	1.855012952
973	1.854439067
974	1.853346851
975	1.852139874
976	1.850674533
977	1.849859291
978	1.849220184
979	1.848347864
980	1.846728686
981	1.84565676
982	1.844699755
983	1.843842037
984	1.843102561
985	1.842764257
986	1.841555975
987	1.840611084
988	1.839648191
989	1.838730959
990	1.837824628
991	1.836725071
992	1.835749663
993	1.834412763
994	1.83355987
995	1.83243453
996	1.831764372
997	1.831112997
998	1.829510732
999	1.828474555
